Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P10720	reviewed	PF4V_HUMAN	Platelet factor 4 variant (C-X-C motif chemokine 4 variant) (CXCL4L1) (PF4alt) (PF4var1) [Cleaved into: Platelet factor 4 variant(4-74); Platelet factor 4 variant(5-74); Platelet factor 4 variant(6-74)]	PF4V1 CXCL4V1 SCYB4V1	Homo sapiens (Human)	104
P10855	reviewed	CCL3_MOUSE	C-C motif chemokine 3 (Heparin-binding chemotaxis protein) (L2G25B) (Macrophage inflammatory protein 1-alpha) (MIP-1-alpha) (SIS-alpha) (Small-inducible cytokine A3) (TY-5)	Ccl3 Mip1a Scya3	Mus musculus (Mouse)	92
P10889	reviewed	CXCL2_MOUSE	C-X-C motif chemokine 2 (Macrophage inflammatory protein 2) (MIP2)	Cxcl2 Mip-2 Mip2 Scyb2	Mus musculus (Mouse)	100
P12850	reviewed	GROA_MOUSE	Growth-regulated alpha protein (C-X-C motif chemokine 1) (Platelet-derived growth factor-inducible protein KC) (Secretory protein N51) [Cleaved into: KC(5-72) (Hematopoietic synergistic factor) (HSF) (KC-T)]	Cxcl1 Gro Gro1 Mgsa Scyb1	Mus musculus (Mouse)	96
P13236	reviewed	CCL4_HUMAN	C-C motif chemokine 4 (G-26 T-lymphocyte-secreted protein) (HC21) (Lymphocyte activation gene 1 protein) (LAG-1) (MIP-1-beta(1-69)) (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (PAT 744) (Protein H400) (SIS-gamma) (Small-inducible cytokine A4) (T-cell activation protein 2) (ACT-2) [Cleaved into: MIP-1-beta(3-69)]	CCL4 LAG1 MIP1B SCYA4	Homo sapiens (Human)	92
P13500	reviewed	CCL2_HUMAN	C-C motif chemokine 2 (HC11) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte secretory protein JE) (Small-inducible cytokine A2)	CCL2 MCP1 SCYA2	Homo sapiens (Human)	99
P13501	reviewed	CCL5_HUMAN	C-C motif chemokine 5 (EoCP) (Eosinophil chemotactic cytokine) (SIS-delta) (Small-inducible cytokine A5) (T cell-specific protein P228) (TCP228) (T-cell-specific protein RANTES) [Cleaved into: RANTES(3-68); RANTES(4-68)]	CCL5 D17S136E SCYA5	Homo sapiens (Human)	91
P14095	reviewed	GROA_RAT	Growth-regulated alpha protein (C-X-C motif chemokine 1) (Cytokine-induced neutrophil chemoattractant 1) (CINC-1) (Platelet-derived growth factor-inducible protein KC)	Cxcl1 Cinc1 Gro Scyb1	Rattus norvegicus (Rat)	96
P16619	reviewed	CL3L1_HUMAN	C-C motif chemokine 3-like 1 (G0/G1 switch regulatory protein 19-2) (LD78-beta(1-70)) (PAT 464.2) (Small-inducible cytokine A3-like 1) (Tonsillar lymphocyte LD78 beta protein) [Cleaved into: LD78-beta(3-70); LD78-beta(5-70)]	CCL3L1 D17S1718 G0S19-2 SCYA3L1; CCL3L3	Homo sapiens (Human)	93
P17515	reviewed	CXL10_MOUSE	C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (C7) (Interferon-gamma induced protein CRG-2) (Small-inducible cytokine B10)	Cxcl10 Crg2 Ifi10 Inp10 Scyb10	Mus musculus (Mouse)	98
P19875	reviewed	CXCL2_HUMAN	C-X-C motif chemokine 2 (Growth-regulated protein beta) (Gro-beta) (Macrophage inflammatory protein 2-alpha) (MIP2-alpha) [Cleaved into: GRO-beta(5-73) (GRO-beta-T) (Hematopoietic synergistic factor) (HSF) (SB-251353)]	CXCL2 GRO2 GROB MIP2A SCYB2	Homo sapiens (Human)	107
P19876	reviewed	CXCL3_HUMAN	C-X-C motif chemokine 3 (GRO-gamma(1-73)) (Growth-regulated protein gamma) (GRO-gamma) (Macrophage inflammatory protein 2-beta) (MIP2-beta) [Cleaved into: GRO-gamma(5-73)]	CXCL3 GRO3 GROG SCYB3	Homo sapiens (Human)	107
P22362	reviewed	CCL1_HUMAN	C-C motif chemokine 1 (Small-inducible cytokine A1) (T lymphocyte-secreted protein I-309)	CCL1 SCYA1	Homo sapiens (Human)	96
P26894	reviewed	IL8_PIG	Interleukin-8 (IL-8) (Alveolar macrophage chemotactic factor I) (AMCF-I) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8)	CXCL8 IL8	Sus scrofa (Pig)	103
P28291	reviewed	CCL2_BOVIN	C-C motif chemokine 2 (Acidic seminal fluid protein) (Monocyte chemotactic protein 1A) (MCP-1) (MCP-1A) (Small-inducible cytokine A2)	CCL2 SCYA2	Bos taurus (Bovine)	99
P30034	reviewed	PLF4_PIG	Platelet factor 4 (PF-4) (C-X-C motif chemokine 4)	PF4 CXCL4 SCYB4	Sus scrofa (Pig)	90
P30348	reviewed	CXCL2_RAT	C-X-C motif chemokine 2 (Cytokine-induced neutrophil chemoattractant 3) (CINC-3) (Macrophage inflammatory protein 2) (MIP2)	Cxcl2 Cinc3 Mip-2 Mip2 Scyb2	Rattus norvegicus (Rat)	100
P30882	reviewed	CCL5_MOUSE	C-C motif chemokine 5 (MuRantes) (SIS-delta) (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	Ccl5 Scya5	Mus musculus (Mouse)	91
P40224	reviewed	SDF1_MOUSE	Stromal cell-derived factor 1 (SDF-1) (12-O-tetradecanoylphorbol 13-acetate repressed protein 1) (TPAR1) (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor) (PBSF) (Thymic lymphoma cell-stimulating factor) (TLSF)	Cxcl12 Sdf1	Mus musculus (Mouse)	93
P42830	reviewed	CXCL5_HUMAN	C-X-C motif chemokine 5 (ENA-78(1-78)) (Epithelial-derived neutrophil-activating protein 78) (Neutrophil-activating peptide ENA-78) (Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78)]	CXCL5 ENA78 SCYB5	Homo sapiens (Human)	114
P42831	reviewed	CCL2_PIG	C-C motif chemokine 2 (Monocyte chemoattractant protein 1) (Monocyte chemotactic protein 1) (MCP-1) (Small-inducible cytokine A2)	CCL2 SCYA2	Sus scrofa (Pig)	99
P47992	reviewed	XCL1_HUMAN	Lymphotactin (ATAC) (C motif chemokine 1) (Cytokine SCM-1) (Lymphotaxin) (SCM-1-alpha) (Small-inducible cytokine C1) (XC chemokine ligand 1)	XCL1 LTN SCYC1	Homo sapiens (Human)	114
P47993	reviewed	XCL1_MOUSE	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Lymphotaxin) (Small-inducible cytokine C1)	Xcl1 Lptn Ltn Scyc1	Mus musculus (Mouse)	114
P48061	reviewed	SDF1_HUMAN	Stromal cell-derived factor 1 (SDF-1) (hSDF-1) (C-X-C motif chemokine 12) (Intercrine reduced in hepatomas) (IRH) (hIRH) (Pre-B cell growth-stimulating factor) (PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67)]	CXCL12 SDF1 SDF1A SDF1B	Homo sapiens (Human)	93
P48298	reviewed	CCL11_MOUSE	Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11)	Ccl11 Scya11	Mus musculus (Mouse)	97
P48973	reviewed	CXL10_RAT	C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Interferon-inducible protein 10) (Protein Mob-1) (Small-inducible cytokine B10)	Cxcl10 Inp10 Mob1 Scyb10	Rattus norvegicus (Rat)	98
P50229	reviewed	CCL3_RAT	C-C motif chemokine 3 (Macrophage inflammatory protein 1-alpha) (MIP-1-alpha) (Small-inducible cytokine A3)	Ccl3 Mip1a Scya3	Rattus norvegicus (Rat)	92
P50230	reviewed	CCL4_RAT	C-C motif chemokine 4 (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (Small-inducible cytokine A4)	Ccl4 Mip1b Scya4	Rattus norvegicus (Rat)	92
P50231	reviewed	CCL5_RAT	C-C motif chemokine 5 (SIS-delta) (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	Ccl5 Scya5	Rattus norvegicus (Rat)	92
P51671	reviewed	CCL11_HUMAN	Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11)	CCL11 SCYA11	Homo sapiens (Human)	97
P51672	reviewed	XCL1_RAT	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	Xcl1 Ltn Scyc1	Rattus norvegicus (Rat)	114
P55773	reviewed	CCL23_HUMAN	C-C motif chemokine 23 (CK-beta-8) (CKB-8) (Macrophage inflammatory protein 3) (MIP-3) (Myeloid progenitor inhibitory factor 1) (MPIF-1) (Small-inducible cytokine A23) [Cleaved into: CCL23(19-99); CCL23(22-99); CCL23(27-99); CCL23(30-99)]	CCL23 MIP3 MPIF1 SCYA23	Homo sapiens (Human)	120
P55774	reviewed	CCL18_HUMAN	C-C motif chemokine 18 (Alternative macrophage activation-associated CC chemokine 1) (AMAC-1) (CC chemokine PARC) (Dendritic cell chemokine 1) (DC-CK1) (Macrophage inflammatory protein 4) (MIP-4) (Pulmonary and activation-regulated chemokine) (Small-inducible cytokine A18) [Cleaved into: CCL18(1-68); CCL18(3-69); CCL18(4-69)]	CCL18 AMAC1 DCCK1 MIP4 PARC SCYA18	Homo sapiens (Human)	89
P67813	reviewed	IL8_MACMU	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8)	CXCL8 IL8	Macaca mulatta (Rhesus macaque)	101
P78556	reviewed	CCL20_HUMAN	C-C motif chemokine 20 (Beta-chemokine exodus-1) (CC chemokine LARC) (Liver and activation-regulated chemokine) (Macrophage inflammatory protein 3 alpha) (MIP-3-alpha) (Small-inducible cytokine A20) [Cleaved into: CCL20(1-67); CCL20(1-64); CCL20(2-70)]	CCL20 LARC MIP3A SCYA20	Homo sapiens (Human)	96
P79255	reviewed	IL8_BOVIN	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8)	CXCL8 IL8	Bos taurus (Bovine)	101
P80075	reviewed	CCL8_HUMAN	C-C motif chemokine 8 (HC14) (Monocyte chemoattractant protein 2) (Monocyte chemotactic protein 2) (MCP-2) (Small-inducible cytokine A8) [Cleaved into: MCP-2(6-76)]	CCL8 MCP2 SCYA10 SCYA8	Homo sapiens (Human)	99
P80098	reviewed	CCL7_HUMAN	C-C motif chemokine 7 (Monocyte chemoattractant protein 3) (Monocyte chemotactic protein 3) (MCP-3) (NC28) (Small-inducible cytokine A7)	CCL7 MCP3 SCYA6 SCYA7	Homo sapiens (Human)	99
P80162	reviewed	CXCL6_HUMAN	C-X-C motif chemokine 6 (Chemokine alpha 3) (CKA-3) (Granulocyte chemotactic protein 2) (GCP-2) (Small-inducible cytokine B6) [Cleaved into: Small-inducible cytokine B6, N-processed variant 1; Small-inducible cytokine B6, N-processed variant 2; Small-inducible cytokine B6, N-processed variant 3]	CXCL6 GCP2 SCYB6	Homo sapiens (Human)	114
P80221	reviewed	CXCL6_BOVIN	C-X-C motif chemokine 6 (Granulocyte chemotactic protein 2) (GCP-2) (Small-inducible cytokine B6)	CXCL6 GCP2 SCYB6	Bos taurus (Bovine)	112
P97545	reviewed	CCL11_RAT	Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11)	Ccl11 Scya11	Rattus norvegicus (Rat)	97
P97884	reviewed	CCL20_RAT	C-C motif chemokine 20 (Beta-chemokine exodus-1) (CC chemokine LARC) (CC chemokine ST38) (Liver and activation-regulated chemokine) (Macrophage inflammatory protein 3 alpha) (MIP-3-alpha) (Small-inducible cytokine A20)	Ccl20 Scya20 St38	Rattus norvegicus (Rat)	96
Q03366	reviewed	CCL7_MOUSE	C-C motif chemokine 7 (Intercrine/chemokine MARC) (Monocyte chemoattractant protein 3) (Monocyte chemotactic protein 3) (MCP-3) (Protein FIC) (Small-inducible cytokine A7)	Ccl7 Fic Mcp3 Scya7	Mus musculus (Mouse)	97
Q09141	reviewed	CCL8_BOVIN	C-C motif chemokine 8 (Monocyte chemoattractant protein 2) (Monocyte chemotactic protein 2) (MCP-2) (Small-inducible cytokine A8)	CCL8 MCP2 SCYA8	Bos taurus (Bovine)	99
Q10746	reviewed	CXCL3_RAT	C-X-C motif chemokine 3 (Cytokine-induced neutrophil chemoattractant 2) (CINC-2) (Macrophage inflammatory protein 2-alpha/beta) (MIP2-alpha/beta)	Cxcl3 Cinc2	Rattus norvegicus (Rat)	101
Q16627	reviewed	CCL14_HUMAN	C-C motif chemokine 14 (Chemokine CC-1/CC-3) (HCC-1/HCC-3) (HCC-1(1-74)) (NCC-2) (Small-inducible cytokine A14) [Cleaved into: HCC-1(3-74); HCC-1(4-74); HCC-1(9-74)]	CCL14 NCC2 SCYA14	Homo sapiens (Human)	93
Q16663	reviewed	CCL15_HUMAN	C-C motif chemokine 15 (Chemokine CC-2) (HCC-2) (Leukotactin-1) (LKN-1) (MIP-1 delta) (Macrophage inflammatory protein 5) (MIP-5) (Mrp-2b) (NCC-3) (Small-inducible cytokine A15) [Cleaved into: CCL15(22-92); CCL15(25-92); CCL15(29-92)]	CCL15 MIP5 NCC3 SCYA15	Homo sapiens (Human)	113
Q2EN89	unreviewed	Q2EN89_PIG	C-C motif chemokine	CCL5	Sus scrofa (Pig)	91
Q2KIQ8	reviewed	CXL10_BOVIN	C-X-C motif chemokine 10 (Small-inducible cytokine B10)	CXCL10	Bos taurus (Bovine)	102
Q5I1Z0	reviewed	CCL3_PANTR	C-C motif chemokine 3 (Macrophage inflammatory protein 1-alpha) (MIP-1-alpha) (Small-inducible cytokine A3)	CCL3	Pan troglodytes (Chimpanzee)	92
Q5KSV9	reviewed	CXL10_CANLF	C-X-C motif chemokine 10 (Small-inducible cytokine B10)	CXCL10	Canis lupus familiaris (Dog) (Canis familiaris)	98
Q5UW37	reviewed	CXL17_MOUSE	C-X-C motif chemokine 17 (6-Cys CXCL17) (13.6 kDa protein) (VEGF coregulated chemokine 1) [Cleaved into: 4-Cys CXCL17]	Cxcl17 Vcc1	Mus musculus (Mouse)	119
Q5XZF2	unreviewed	Q5XZF2_MOUSE	C-C motif chemokine	Ccl5	Mus musculus (Mouse)	91
Q62401	reviewed	CCL12_MOUSE	C-C motif chemokine 12 (MCP-1-related chemokine) (Monocyte chemoattractant protein 5) (Monocyte chemotactic protein 5) (MCP-5) (Small-inducible cytokine A12)	Ccl12 Mcp5 Scya12	Mus musculus (Mouse)	104
Q68A92	reviewed	CCL3_CANLF	C-C motif chemokine 3 (Small-inducible cytokine A3)	CCL3	Canis lupus familiaris (Dog) (Canis familiaris)	92
Q6UWK7	reviewed	GP15L_HUMAN	Protein GPR15LG (Antimicrobial peptide with 57 amino acid residues) (AP-57) (Antimicrobial peptide-57) (Colon-derived SUSD2 binding factor) (CSBF) (Protein GPR15 ligand) (Protein GPR15L) (Secreted protein C10orf99)	GPR15LG C10orf99 GPR15L UNQ1833/PRO3446	Homo sapiens (Human)	81
Q80YV8	unreviewed	Q80YV8_RAT	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	Cxcl12	Rattus norvegicus (Rat)	119
Q8AV10	unreviewed	Q8AV10_DANRE	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	cxcl12a cxcl12 SDF-1 sdf-1a sdf1a wu:fa55e10 wu:fc16h12 wu:fj84c02	Danio rerio (Zebrafish) (Brachydanio rerio)	99
Q8HYQ3	reviewed	CCL3_MACMU	C-C motif chemokine 3 (Macrophage inflammatory protein 1-alpha) (MIP-1-alpha) (Small-inducible cytokine A3)	CCL3 MIP1A	Macaca mulatta (Rhesus macaque)	92
Q8NHW4	reviewed	CC4L_HUMAN	C-C motif chemokine 4-like (Lymphocyte activation gene 1 protein) (LAG-1) (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (Monocyte adherence-induced protein 5-alpha) (Small-inducible cytokine A4-like)	CCL4L1 CCL4L LAG1 SCYA4L1; CCL4L2 CCL4L SCYA4L2	Homo sapiens (Human)	92
Q8SQA6	reviewed	CCL3_BOVIN	C-C motif chemokine 3 (Macrophage inflammatory protein 1-alpha) (MIP-1-alpha) (Small-inducible cytokine A3)	CCL3 SCYA3	Bos taurus (Bovine)	93
Q8UUJ9	reviewed	SDF1_XENLA	Stromal cell-derived factor 1 (xSDF-1) (C-X-C motif chemokine 12)	cxcl12 sdf1	Xenopus laevis (African clawed frog)	94
Q92583	reviewed	CCL17_HUMAN	C-C motif chemokine 17 (CC chemokine TARC) (Small-inducible cytokine A17) (Thymus and activation-regulated chemokine)	CCL17 SCYA17 TARC	Homo sapiens (Human)	94
Q99616	reviewed	CCL13_HUMAN	C-C motif chemokine 13 (CK-beta-10) (Monocyte chemoattractant protein 4) (Monocyte chemotactic protein 4) (MCP-4) (NCC-1) (Small-inducible cytokine A13) [Cleaved into: C-C motif chemokine 13, long chain; C-C motif chemokine 13, medium chain; C-C motif chemokine 13, short chain]	CCL13 MCP4 NCC1 SCYA13	Homo sapiens (Human)	98
Q99731	reviewed	CCL19_HUMAN	C-C motif chemokine 19 (Beta-chemokine exodus-3) (CK beta-11) (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Macrophage inflammatory protein 3 beta) (MIP-3-beta) (Small-inducible cytokine A19)	CCL19 ELC MIP3B SCYA19	Homo sapiens (Human)	98
Q9JKC0	reviewed	CCL24_MOUSE	C-C motif chemokine 24 (Eosinophil chemotactic protein 2) (Eotaxin-2) (Small-inducible cytokine A24)	Ccl24 Scya24	Mus musculus (Mouse)	119
Q9QXY8	reviewed	CCL7_RAT	C-C motif chemokine 7 (Monocyte chemoattractant protein 3) (Monocyte chemotactic protein 3) (MCP-3) (Small-inducible cytokine A7)	Ccl7 Mcp3 Scya7	Rattus norvegicus (Rat)	97
Q9QZD1	unreviewed	Q9QZD1_RAT	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	Cxcl12 SDF-1	Rattus norvegicus (Rat)	89
Q9UBD3	reviewed	XCL2_HUMAN	Cytokine SCM-1 beta (C motif chemokine 2) (XC chemokine ligand 2)	XCL2 SCYC2	Homo sapiens (Human)	114
